OBJECTID,Shape,codigo,nombre,riesgo,descripcion,tipo_amenaza,categoria_proteccion,subcategoria_proteccion,Shape_Length,Shape_Area

1,"(4715058.686818214, 2245036.155446599)",1421-1,Patio Bonito,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,2606.327940907418,34520.34373569805

2,"(4711155.5520942295, 2245900.9638461308)",1611-1,La Loma de Los Bernal,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,156.60681155584822,1190.052202802588

3,"(4711068.204277469, 2245903.36136315)",1611-2,La Loma de Los Bernal,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,130.3437241396936,255.1013819091577

4,"(4720322.379438738, 2247091.8874599654)",0901-5,Juan Pablo II,Alto riesgo no mitigable,Zona de alto riesgo no mitigable por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona de riesgo no mitigable,1617.6278827520862,13160.466526599022

5,"(4714040.338611756, 2250718.2715630326)",Inst_7-1,Ecoparque Cerro El Volador,Alto riesgo no mitigable,Zona de alto riesgo no mitigable por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona de riesgo no mitigable,732.5418725094413,10517.457611844628

6,"(4718860.9815542465, 2251260.5571199767)",0309-3,Versalles No.1,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,900.8576200511894,3382.9038528889223

7,"(4699533.517391422, 2261655.130556566)",5003-4,Urquit�,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,26.375654824552846,34.76411586583626

8,"(4700974.940702564, 2261945.6568943476)",5003-1,Urquit�,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,48.97255986384574,100.62386246845983

9,"(4701850.923754703, 2262303.880555479)",5003-2,Urquit�,Alto riesgo no mitigable,Zona de alto riesgo no mitigable por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona de riesgo no mitigable,176.9717338026566,1746.15557402164

10,"(4700970.271126839, 2261933.683217469)",5008-1,Potrera Miserenga,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,76.31421765613987,353.83223032978117

11,"(4711439.354943741, 2252565.827499866)",0719-1,Fuente Clara,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,114.43854612920106,560.0270078101591

12,"(4711840.5559361335, 2252210.2765483893)",0719-2,Fuente Clara,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,1215.0313402272018,18659.90583563778

13,"(4719541.699817146, 2247258.393581577)",0902-2,Barrios de Jes�s,Alto riesgo no mitigable,Zona de alto riesgo no mitigable por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona de riesgo no mitigable,2235.615357721737,24759.841703545193

14,"(4710711.466170279, 2248714.6308270833)",1212-2,Santa Teresita,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,299.7716744425355,935.3964756311775

15,"(4716778.990100241, 2244623.4043327267)",1406-1,Las Lomas No.1,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,15.458866321915925,13.614920727753312

16,"(4716477.543867782, 2244579.48541907)",1406-2,Las Lomas No.1,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,42.4873354540738,28.47786466432413

17,"(4710149.691342159, 2248774.7997578643)",1312-2,Betania,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,1925.649322140171,15285.491848858044

18,"(4716097.34822737, 2244602.1154159713)",1417-1,La Florida,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,2824.5916940162683,29635.266452460146

19,"(4710403.269515734, 2251900.699681393)",0722-3,Olaya Herrera,Alto riesgo no mitigable,Zona de alto riesgo no mitigable por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona de riesgo no mitigable,508.4599182685658,5301.897226349114

20,"(4710709.933062312, 2251961.1880021594)",0722-4,Olaya Herrera,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,340.32170811801916,961.0490113617961

21,"(4715221.836671826, 2244813.94181075)",1420-1,Astorga,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,2063.6097476000805,16671.74451766791

22,"(4708082.753112588, 2242891.198634471)",SN01-2,El Coraz�n,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,181.58213430887267,953.8085863619069

23,"(4710428.878715058, 2248685.2164418628)",1311-1,Belencito,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,983.1252085235672,10634.334083414618

24,"(4711308.873518851, 2252792.3315342697)",0718-1,Cucaracho,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,312.2239802631146,1495.0646769381856

25,"(4712154.956112747, 2252895.019725611)",0718-2,Cucaracho,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,381.2614109647014,3160.072562261038

26,"(4710697.122864914, 2248729.694938811)",1209-2,Santa M�nica,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,334.7689476868855,3962.2917953097667

27,"(4709553.248761987, 2247658.122106614)",7004-1,San Pablo,Alto riesgo no mitigable,Zona de alto riesgo no mitigable por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona de riesgo no mitigable,801.4137852585952,9451.96749358415

28,"(4709318.9057366345, 2248988.741797881)",1313-2,El Coraz�n,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,2195.9909789411304,16117.50406441505

29,"(4716066.808258412, 2252563.6658764146)",0405-2,Moravia,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,662.2434580332575,2940.6269380679714

30,"(4715373.766174789, 2250310.8600475527)",1006-1,San Benito,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,692.7297850887686,2643.5595827851043

31,"(4712671.429458259, 2251946.1652672472)",0717-1,Robledo,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,2408.4150210547655,23683.460914469117

32,"(4712552.6523758825, 2252239.145588911)",0717-2,Robledo,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,958.4871224376811,9637.943311506206

33,"(4717204.4228703305, 2248979.238672158)",1016-1,Boston,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,2006.1416517144446,14047.669565393891

34,"(4714439.469721092, 2250430.613220783)",0725-1,Nueva Villa de La Iguan�,Alto riesgo no mitigable,Zona de alto riesgo no mitigable por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona de riesgo no mitigable,1561.0974144164738,29326.21224322279

35,"(4709442.0507402755, 2247633.0633972385)",7004-2,San Pablo,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,3717.5315245915967,39211.58866552175

36,"(4707918.558996378, 2247279.1459144005)",7002-1,Aguas Fr�as,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,1135.9390120681237,18623.131374968896

37,"(4708409.954307808, 2247388.8968771873)",7002-5,Aguas Fr�as,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,75.37000729327518,236.58346628078195

38,"(4715384.3613510635, 2250309.8348996392)",1004-1,El Chagualo,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,686.3901551411225,3348.5456407198094

39,"(4712631.694085745, 2251927.6030179006)",1301-2,El Pesebre,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,2536.5876070592367,31029.104626656117

40,"(4718847.604685182, 2251266.684395602)",0305-4,El Raizal,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,903.5589763264335,2858.1711245859096

41,"(4715900.954045635, 2244630.3064505225)",1418-1,El Poblado,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,2004.5213013902064,17783.86784580289

42,"(4708105.680182743, 2242055.6851293663)",8007-1,La Verde,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,1689.0014245626699,28910.147662087067

43,"(4705614.721354664, 2243264.888741332)",8007-4,La Verde,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,40.427689606442996,50.21652402417579

44,"(4706516.826790133, 2242757.4269849546)",8007-6,La Verde,Alto riesgo no mitigable,Zona de alto riesgo no mitigable por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona de riesgo no mitigable,283.4209013555331,3172.568557128444

45,"(4705646.847305308, 2243280.494513891)",8007-9,La Verde,Alto riesgo no mitigable,Zona de alto riesgo no mitigable por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona de riesgo no mitigable,303.1852637146895,4771.899587042233

46,"(4705530.177200001, 2243743.900933334)",8007-10,La Verde,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,18.414865275922192,12.39649845064527

47,"(4706719.397048941, 2242762.6192585486)",8007-7,La Verde,Alto riesgo no mitigable,Zona de alto riesgo no mitigable por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona de riesgo no mitigable,570.8095369359494,7346.249363995469

48,"(4707013.0592712015, 2242683.4985023583)",8007-11,La Verde,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,2947.791387718081,57723.83019320076

49,"(4703999.891887376, 2242896.746708596)",8003-1,Monta�ita,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,627.0507571869832,6590.839663390453

50,"(4705456.045106329, 2242491.807769667)",AUC2-4,San Antonio de Prado,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,230.31027633201683,1105.564031906083

51,"(4710411.490136318, 2247900.1619819785)",AE4-1,�rea de Expansi�n El Noral,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,503.81450779268204,3498.5259581067917

52,"(4710205.401821635, 2247865.781072231)",1616-5,Las Violetas,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,1446.5985009005226,12488.284999485499

53,"(4710485.37721732, 2246300.451843691)",7005-1,Altavista Sector Central,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,11.707505779373317,1.9393626407981253

54,"(4705464.3753412245, 2241565.013800687)",AUC2-7,San Antonio de Prado,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,124.50326271276583,587.8842497706896

55,"(4707883.697498855, 2241933.468759937)",AUC2-8,San Antonio de Prado,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,7123.144506493983,161664.63215695217

56,"(4705549.311451973, 2241579.02446774)",8001-1,La Florida,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,590.6790674168761,4406.867888752213

57,"(4702065.28175278, 2260316.9460999453)",5004-1,Palmitas Sector Central,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,515.6189566070115,11963.908494931979

58,"(4703262.340506272, 2259700.177960104)",5004-2,Palmitas Sector Central,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,1494.5517179313997,23582.607833621558

59,"(4702489.408699694, 2259078.916765673)",5004-3,Palmitas Sector Central,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,53.66409984282504,35.89087196154178

60,"(4706182.495482684, 2256056.641405919)",6006-2,Boquer�n,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,77.96410382163742,184.09251283780168

61,"(4717675.423072189, 2248531.444833835)",0906-2,Barrio Caycedo,Alto riesgo no mitigable,Zona de alto riesgo no mitigable por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona de riesgo no mitigable,1101.8289369409615,5343.436893709601

62,"(4710792.702126945, 2252039.818508683)",0720-5,Santa Margarita,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,460.55397325793206,2461.725594401907

63,"(4710389.096265699, 2251927.8592395056)",0720-6,Santa Margarita,Alto riesgo no mitigable,Zona de alto riesgo no mitigable por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona de riesgo no mitigable,788.8587938389326,4580.568479033413

64,"(4710335.751367872, 2246319.9286909816)",7005-2,Altavista Sector Central,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,667.4415618422873,4346.982090833437

65,"(4708787.955554873, 2246340.969395812)",7005-5,Altavista Sector Central,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,1897.5118104810877,17936.243761843976

66,"(4705499.846356607, 2243782.9421783923)",8006-3,El Salado,Alto riesgo no mitigable,Zona de alto riesgo no mitigable por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona de riesgo no mitigable,245.80502136108262,2368.8880860452277

67,"(4705364.540623504, 2244105.289295452)",8006-4,El Salado,Alto riesgo no mitigable,Zona de alto riesgo no mitigable por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona de riesgo no mitigable,220.9157895912679,2615.666213244504

68,"(4705557.837976298, 2243279.630740897)",8006-1,El Salado,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,343.30639122504016,1432.3756237988923

69,"(4705595.708544865, 2243300.792822221)",8006-2,El Salado,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,156.15263635236744,1232.209664522058

70,"(4705470.630233333, 2243296.898433335)",8006-8,El Salado,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,20.311389856005402,15.831386258380594

71,"(4705578.3203649325, 2243374.505356453)",8006-9,El Salado,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,84.42241047183909,111.27199935878623

72,"(4708106.272299592, 2246161.153336615)",7001-2,Buga Patio Bonito,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,1989.747959747013,19987.59380067088

73,"(4708487.332567583, 2246313.371106408)",7001-3,Buga Patio Bonito,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,36.655191781097805,22.043932373789147

